water_spot,size_in_acres,location,distance_from_me,free,cost
San Pedro Springs,46,"San Antonio, TX",,,
Garner State Park,,"Concan, TX",,,
Lake Amistad Recreation Area,,"Del Rio, TX",,,
Comal River,,"New Braunfels, TX",,,
Canyon Lake,,"Canyon Lake, TX",,,
Krause Springs,,"Spicewood, TX",,,
Blanco State Park,,"Blanco, TX",,,
Rio Vista Park,,"San Marcos, TX",,Yes,0
Medina Lake,,,,,
Landa Park Aquatic Complex,,,,,
Deep Eddy,,"Austin, TX",,,
San Marcos River,,"San Marcos, TX",,,
Woodlawn Pool,,"San Antonio, TX",,,
Blue Hole,,"Wimberly, TX",,,
Guadalupe State Park,,"Spring Branch, TX",,,
Paradise Canyon,,,,,
Riding River Ranch,,,,,
Barton Springs,,"Austin, TX",,,
Chalk Bluff River Resort,,,,,
Jacob's Well,,"Wimberley, TX",,,
Devil's Waterhole,,,,,
Schumacher Crossing,,,,,
The Slab Llano River,,Kingsland,,,
Utopia City Park,,"Utopia, TX",,,
San Felipe Springs,,"Del Rio, TX",,,